,phih,0,45,90,135
0,0.33,-0.6040364695290813,-0.4362959109680487,-0.49765456561100374,-0.6691997271463944
1,10.74,-0.7695951601733217,-0.46996646210634735,-0.37391937328065505,-0.6612592723164613
2,20.33,-0.8544680017772323,-0.4962105005666007,-0.2998766601624719,-0.6378504375437898
3,29.88,-0.8834831868949273,-0.5152553603607556,-0.24529725284777049,-0.5777538418547354
4,40.62,-0.8570914937889154,-0.5197223507701457,-0.18504320133381655,-0.5022203957211832
5,50.19,-0.8074750439686987,-0.49981381997142493,-0.14069227660924413,-0.41823383608313885
6,59.87,-0.7062158560314896,-0.470291595567065,-0.11452028220396443,-0.32692311121794476
7,70.61,-0.5420812628255783,-0.42641778718034223,-0.1051848347203598,-0.20234567227308525
8,80.63,-0.32681550608996385,-0.36955929441450824,-0.13649149416367087,-0.08695734606876224
9,90.17,-0.046399188844275116,-0.283543500737453,-0.23443824633458488,-0.004097060143418203
10,100.55,0.1856881755089865,-0.1505535237587297,-0.2585221907000442,0.06011773363459905
11,110.74,0.3550955349833244,-0.011874916675235186,-0.21762376788694945,0.11284935971977085
12,120.83,0.49040009955611874,0.1295446963429193,-0.1565431803272305,0.17683195896128978
13,129.94,0.5855043090959599,0.24677920238596177,-0.06603967069710126,0.2332870510009384
14,140.15,0.6678852184942589,0.38436499266516727,0.04532623739696924,0.2920111505376205
15,150.33,0.7197555042759465,0.4998078623599657,0.171710970247676,0.34250582594579354
16,160.41,0.7340155040332595,0.6078697701010437,0.3077007223098913,0.3870292188617752
17,170.55,0.6992311991111253,0.6979927960628988,0.48663097649820236,0.4328257390596449
18,180.67,0.5856122571963678,0.7591890915872207,0.6788246362467858,0.46863911959626064
19,189.81,0.4819669000433994,0.765971724708123,0.8240911934470725,0.515654048800333
20,200.44,0.3817095988053878,0.7199527266393829,0.9000872199321277,0.5507172564124152
21,210.07,0.30274097436683656,0.662504095205724,0.913980494075628,0.5566274310804399
22,220.8,0.231349255257922,0.5726530817392298,0.8838424423769907,0.550162398599714
23,230.33,0.16237372602711608,0.47059614450750653,0.8015692803808417,0.5289707720543395
24,240.1,0.11302777777982564,0.34362540058157676,0.6825050542965189,0.4755194897883875
25,249.86,0.07539340132502428,0.2137763166306609,0.5226503765292267,0.41226194011132217
26,259.85,0.08638538218647997,0.07873185675089572,0.29504980121694024,0.3455502229602607
27,270.38,0.17192816271016373,-0.04556368012752382,-0.014695920917261875,0.23126068957078477
28,280.55,0.18260936650027335,-0.127933322831739,-0.2459936318478084,0.08633014536951131
29,290.77,0.1428648054723099,-0.19823424211225177,-0.4074931203483497,-0.05352524946699522
30,299.81,0.0815967766337726,-0.2501291515711388,-0.524338861861939,-0.1722495136655515
31,310.0,0.006164438996251701,-0.3107703057803898,-0.6075867038274835,-0.2975616371062347
32,320.32,-0.09542883086021427,-0.35487474899348975,-0.6764809855813316,-0.4146896601203172
33,330.43,-0.19244733493113964,-0.3856754955466804,-0.7017095825118312,-0.5095950243993518
34,340.56,-0.31163253199989194,-0.41000535121836507,-0.6853451743507115,-0.5801590909757636
35,350.51,-0.4461285006453861,-0.42066843701004086,-0.6184784268292884,-0.6445306759620738
